slope_deg,elevation_m,lithology_idx,rainfall_3d_mm,rainfall_24h_intensity,soil_moisture_pct,displacement_rate,fault_distance_m,target_class
42.70,1561.76,4.00,352.42,18.03,98.79,3.97,459.13,3
42.90,1359.46,4.00,381.95,11.59,100.00,12.77,157.19,3
44.04,1266.98,4.00,330.14,15.92,100.00,0.11,380.32,3
40.44,1381.95,4.00,351.23,13.22,100.00,5.98,496.09,3
40.30,1385.21,4.00,356.09,13.17,89.27,6.74,266.91,3
44.41,1255.74,4.00,336.86,18.60,100.00,0.49,572.03,3
42.54,1391.71,4.00,329.22,18.15,98.56,0.05,578.10,3
43.63,1264.38,4.00,344.72,17.09,95.09,1.56,763.86,3
46.72,1136.40,4.00,361.57,17.30,95.81,3.59,448.68,3
45.91,1262.35,4.00,321.66,14.34,100.00,4.33,365.44,3
40.98,1304.46,4.00,356.28,17.92,100.00,13.24,378.39,3
39.99,1254.39,4.00,350.07,19.73,100.00,0.53,426.01,3
41.44,1279.45,4.00,325.24,15.16,100.00,3.94,565.63,3
42.12,1328.21,4.00,359.55,14.10,100.00,0.34,451.89,3
44.16,1286.52,4.00,399.19,16.52,97.41,4.44,729.00,3
45.55,1302.00,4.00,397.05,12.88,94.96,2.80,360.09,3
46.11,1062.78,4.00,294.48,16.39,100.00,0.80,595.58,3
37.88,1499.78,4.00,371.79,13.89,89.72,15.77,653.08,3
43.46,1313.45,4.00,280.99,12.60,99.35,9.00,441.68,3
42.52,1285.64,4.00,331.05,17.17,93.59,13.86,428.64,3
37.71,1344.26,4.00,368.81,19.92,95.03,5.01,404.42,3
47.93,1293.88,4.00,371.78,15.50,100.00,9.42,713.30,3
38.93,1247.71,4.00,379.53,17.93,97.40,0.07,398.65,3
46.20,1068.95,4.00,312.72,9.18,98.38,3.25,557.63,3
40.80,1440.13,4.00,366.84,16.29,99.91,1.34,569.46,3
43.84,1276.08,4.00,290.61,15.03,92.17,0.36,550.45,3
38.65,1338.52,4.00,360.98,14.43,100.00,0.85,402.10,3
40.64,1184.86,4.00,339.62,12.19,96.68,3.15,270.32,3
42.14,1285.06,4.00,355.16,18.91,100.00,6.21,356.95,3
40.64,1210.90,4.00,335.42,8.39,90.91,2.79,655.03,3
45.48,1161.45,4.00,343.02,18.21,94.17,2.67,461.92,3
36.88,1304.42,4.00,323.39,11.03,96.12,0.57,287.77,2
43.26,1389.27,4.00,368.68,17.26,94.76,3.47,449.51,3
47.83,1344.67,4.00,316.37,14.73,94.75,4.67,242.58,3
35.80,1392.95,4.00,342.99,15.68,97.83,0.75,414.23,3
40.22,1221.54,4.00,327.49,12.71,100.00,2.38,325.36,3
39.37,1419.81,2.00,600.00,45.82,95.66,4.97,770.11,3
38.35,1520.17,2.00,561.16,46.63,96.02,1.76,935.59,3
38.98,1101.09,2.00,591.43,44.08,90.85,3.92,969.66,3
37.77,1284.68,2.00,586.60,45.14,94.84,0.29,792.32,3
35.89,1521.23,2.00,600.00,47.31,95.66,2.39,1215.08,3
40.02,1405.63,2.00,600.00,43.19,100.00,3.84,826.65,3
37.58,1443.65,2.00,588.04,46.76,98.09,7.58,802.14,3
39.01,1679.05,2.00,600.00,44.02,100.00,2.60,788.79,3
35.63,1162.36,2.00,600.00,42.47,90.52,10.34,852.41,3
40.90,1164.66,2.00,600.00,47.31,91.13,0.67,1021.56,3
39.78,1579.68,2.00,600.00,45.25,97.08,1.68,910.57,3
40.91,1327.27,2.00,600.00,43.57,100.00,1.88,900.05,3
42.50,1376.64,2.00,592.21,43.34,100.00,4.61,996.03,3
39.45,1655.22,2.00,583.56,41.27,89.33,2.79,1074.41,3
38.63,1747.23,2.00,597.83,45.14,100.00,11.51,938.54,3
35.23,1486.58,2.00,600.00,49.04,100.00,12.26,773.32,3
37.68,1523.73,2.00,600.00,46.57,96.47,1.84,829.99,3
34.46,1231.42,2.00,600.00,45.22,92.26,6.02,655.74,3
32.74,1398.71,2.00,574.76,44.55,99.96,2.44,652.13,3
37.19,1513.54,2.00,600.00,48.38,98.39,0.40,684.02,3
38.00,1448.99,2.00,585.96,45.45,95.30,10.27,951.14,3
35.99,1364.38,2.00,600.00,43.37,95.72,6.72,865.96,3
42.86,1110.88,2.00,550.94,41.28,92.93,0.90,880.56,3
33.07,1336.66,2.00,575.14,50.26,100.00,0.12,1040.73,2
35.53,1342.60,2.00,600.00,44.61,100.00,1.22,692.01,3
37.16,1385.02,2.00,600.00,46.33,97.83,4.96,1023.90,3
35.70,1317.52,2.00,561.16,50.29,92.55,2.15,727.55,3
32.55,1502.72,2.00,570.89,50.26,87.51,1.57,1104.47,3
41.40,1426.29,2.00,594.51,49.04,100.00,1.34,950.84,3
38.60,1407.92,2.00,600.00,46.04,96.76,0.08,733.25,3
32.30,1496.22,2.00,600.00,47.15,97.19,0.05,929.04,2
38.90,1547.92,2.00,600.00,48.04,88.95,3.29,658.06,3
36.78,1453.83,2.00,567.04,46.74,90.86,1.98,730.23,3
34.58,1556.44,2.00,579.17,52.90,100.00,5.94,877.73,3
40.13,1247.70,2.00,600.00,43.02,89.86,6.63,998.07,3
37.88,1642.50,2.00,587.23,50.44,100.00,7.23,765.63,3
34.19,1541.54,2.00,558.83,48.43,92.08,3.51,816.06,3
39.33,1503.27,2.00,600.00,48.24,100.00,1.29,918.88,3
32.66,1423.05,2.00,600.00,45.40,100.00,15.94,818.01,3
37.86,1511.78,2.00,600.00,45.09,100.00,0.17,772.59,3
33.08,1490.12,2.00,576.84,48.83,98.43,1.70,870.25,3
43.06,1453.59,2.00,600.00,40.54,100.00,1.19,983.44,3
40.50,1435.64,2.00,600.00,42.95,96.94,4.44,477.31,3
36.44,1604.41,2.00,600.00,43.43,97.48,1.97,807.73,3
34.48,1303.89,2.00,554.56,41.38,93.58,13.48,952.39,3
41.45,1404.32,2.00,600.00,47.02,93.26,21.28,907.36,3
42.08,1624.53,2.00,563.65,45.22,96.89,0.93,760.16,3
35.77,1572.68,2.00,600.00,43.29,95.01,7.61,920.71,3
35.53,1345.57,2.00,600.00,47.81,94.96,9.45,874.70,3
35.86,1383.48,2.00,600.00,46.00,100.00,0.41,1151.53,3
31.88,1279.12,2.00,600.00,42.15,94.95,1.12,848.76,3
36.19,1456.85,2.00,600.00,48.57,100.00,7.84,770.37,3
42.63,1294.18,2.00,561.92,46.39,100.00,4.83,895.83,3
40.87,1490.87,2.00,600.00,48.51,100.00,0.78,947.31,3
36.70,1329.97,2.00,585.66,46.48,100.00,3.19,910.06,3
38.67,1435.57,2.00,568.90,47.24,100.00,6.81,1174.49,3
38.93,1381.83,2.00,600.00,45.14,100.00,12.10,633.78,3
36.44,1453.29,2.00,600.00,41.92,100.00,1.91,744.98,3
36.32,1445.34,2.00,600.00,43.42,99.21,6.62,544.71,3
36.06,1655.74,2.00,566.70,38.40,100.00,5.32,774.69,3
41.93,1587.27,2.00,597.34,41.56,99.31,4.58,944.99,3
32.66,1346.97,2.00,600.00,45.73,98.55,1.08,902.81,3
38.26,1402.47,2.00,600.00,43.97,100.00,0.92,845.66,3
39.20,1484.81,2.00,600.00,46.34,100.00,0.63,1049.37,3
42.37,1488.97,2.00,577.13,44.85,100.00,2.53,736.39,3
37.86,1258.31,2.00,600.00,42.96,100.00,1.67,752.11,3
37.03,1426.95,2.00,598.57,42.94,100.00,1.55,775.62,3
40.75,1481.05,2.00,578.73,44.86,99.98,4.33,676.25,3
39.84,1643.80,2.00,580.99,45.11,98.38,0.37,837.08,3
34.49,1396.27,2.00,600.00,46.92,96.57,0.82,935.89,3
38.96,1334.17,2.00,600.00,46.07,100.00,7.28,952.22,3
41.67,1365.77,2.00,600.00,45.59,100.00,3.36,746.62,3
36.71,1454.55,2.00,577.11,43.41,100.00,3.10,1019.40,3
44.05,1482.36,2.00,600.00,45.36,100.00,0.34,696.58,3
41.82,1416.71,2.00,600.00,47.62,88.81,2.09,714.76,3
34.79,1525.65,1.00,366.10,10.52,100.00,4.62,1194.22,2
28.28,1331.27,1.00,344.01,12.44,100.00,2.00,1011.93,2
31.81,1447.50,1.00,336.35,12.68,96.70,7.11,1099.26,2
35.13,1365.02,1.00,282.74,11.75,99.06,1.45,1359.36,2
38.02,1191.23,1.00,314.94,8.54,92.23,2.97,1374.12,2
28.55,1367.31,1.00,271.62,12.66,98.44,0.57,1385.05,2
39.25,1502.03,1.00,315.28,10.85,98.07,3.72,1511.51,2
35.27,1555.85,1.00,316.42,13.04,98.04,0.12,1117.36,2
36.55,1406.23,1.00,342.32,11.66,100.00,0.08,900.27,2
34.49,1454.30,1.00,320.66,15.16,87.39,2.20,1640.66,2
37.88,1275.21,1.00,339.32,8.74,96.26,4.05,1487.10,2
35.92,1289.94,1.00,323.23,17.91,100.00,1.69,1246.14,2
37.87,1542.44,1.00,339.97,8.47,100.00,0.23,1028.05,2
37.52,1369.71,1.00,332.52,16.21,100.00,1.04,1253.33,2
38.16,1252.69,1.00,338.94,14.00,98.21,3.41,1406.36,2
34.42,1276.56,1.00,292.05,6.97,94.69,1.19,1432.88,2
31.76,1241.23,1.00,365.05,14.93,95.87,0.96,1537.87,2
34.21,1535.13,1.00,312.64,11.84,93.06,1.02,970.08,2
37.58,1692.77,1.00,358.61,13.59,100.00,6.23,1328.01,2
33.12,1447.05,1.00,319.28,13.56,99.80,0.59,1057.45,2
30.54,1267.57,1.00,328.50,16.08,100.00,2.52,964.42,2
31.89,1209.58,1.00,320.64,11.42,94.18,1.49,1282.66,2
31.90,1438.37,1.00,284.18,13.22,99.88,3.28,1282.87,2
31.97,1407.64,1.00,335.80,12.32,100.00,4.31,1257.60,2
31.54,1320.45,1.00,288.93,17.15,92.54,3.03,1096.06,2
36.81,1332.75,1.00,369.49,9.42,100.00,1.20,1082.70,2
29.84,1437.18,1.00,339.84,13.14,98.89,0.05,1180.53,2
38.29,1594.81,1.00,285.58,12.70,100.00,1.37,947.20,2
31.19,1596.69,1.00,365.94,10.24,100.00,0.64,1444.26,2
30.15,1314.64,1.00,309.34,11.31,95.45,3.22,1205.02,2
34.82,1213.29,1.00,332.27,14.40,88.04,0.81,1256.11,2
36.43,1633.59,1.00,317.49,17.08,100.00,6.32,1097.87,3
35.89,1289.52,1.00,328.23,7.66,99.33,2.82,1064.41,2
38.60,1254.25,1.00,310.65,7.68,100.00,3.69,1317.01,2
42.12,1447.20,1.00,328.80,10.97,100.00,3.05,1177.13,3
30.25,1293.23,1.00,306.39,11.18,100.00,0.73,1306.21,2
30.14,1141.65,1.00,333.71,19.38,99.96,9.70,1325.77,3
32.65,1455.68,1.00,313.04,15.40,100.00,0.73,1289.94,2
33.39,1309.31,1.00,337.41,9.20,100.00,2.05,1198.63,2
33.21,1423.71,1.00,385.62,11.00,96.10,1.40,1279.45,2
30.27,1363.37,1.00,308.76,11.34,100.00,6.75,1279.45,2
27.69,1322.42,1.00,251.79,12.78,100.00,0.49,1081.01,2
39.36,1546.25,1.00,318.66,16.37,100.00,8.23,1149.44,3
32.03,1350.69,1.00,314.82,9.78,100.00,0.13,1105.81,2
34.56,1400.37,1.00,334.92,15.47,100.00,1.50,977.27,2
30.35,1374.92,1.00,320.79,14.87,96.96,1.07,1024.34,2
35.90,1491.10,1.00,309.59,4.13,96.72,1.53,1258.77,2
30.52,1396.29,1.00,275.00,18.08,92.84,0.79,1193.99,2
33.39,1605.41,1.00,289.70,7.06,100.00,4.45,1168.60,2
38.00,1265.50,1.00,284.02,10.68,99.47,2.03,1338.20,2
36.60,1435.92,1.00,356.54,16.58,100.00,0.33,1086.99,2
34.31,1606.66,1.00,318.28,12.17,100.00,0.15,1131.78,2
29.29,1283.41,1.00,354.01,9.93,93.72,0.38,1280.50,2
34.99,1315.06,1.00,304.46,14.54,100.00,0.96,1396.67,2
32.87,1369.90,1.00,357.20,13.57,100.00,0.09,1524.75,2
39.09,1615.91,1.00,342.65,13.68,94.88,0.83,1253.88,2
30.34,1164.04,1.00,375.41,8.59,98.67,4.36,1158.48,2
29.31,1509.56,1.00,331.60,12.70,100.00,1.23,1077.95,2
35.72,1488.19,1.00,340.57,15.42,100.00,8.36,1005.48,3
33.67,1389.69,1.00,344.32,13.63,100.00,3.67,976.21,2
35.08,1604.27,1.00,330.02,19.71,100.00,2.34,935.89,2
35.15,1508.03,1.00,308.44,13.33,98.50,0.57,1197.06,2
33.27,1297.94,1.00,309.49,13.67,100.00,1.91,1259.20,2
32.20,1266.77,1.00,330.95,16.26,91.30,0.32,1034.05,2
36.53,1355.26,1.00,367.17,10.70,100.00,0.99,1339.89,2
39.88,1309.89,1.00,353.16,10.18,100.00,1.31,1074.64,2
32.03,1422.15,1.00,362.55,17.92,100.00,2.26,1381.25,2
31.81,1499.34,1.00,323.82,15.84,100.00,2.46,1102.61,2
34.31,1577.30,1.00,295.46,11.32,95.70,0.19,920.02,2
35.68,1236.14,1.00,328.75,13.63,100.00,3.08,1038.50,2
33.21,1284.87,1.00,314.69,15.17,100.00,0.41,1431.49,2
29.06,1259.06,1.00,310.81,14.21,88.62,5.65,1225.54,2
32.37,1208.64,1.00,336.84,10.30,92.98,0.29,769.16,2
34.72,1354.59,1.00,252.22,11.42,100.00,0.35,1316.72,2
30.51,1436.22,1.00,343.15,15.58,99.40,0.61,1169.45,2
49.24,393.47,5.00,54.89,6.73,80.18,6.75,535.22,2
47.93,330.33,5.00,15.29,12.15,86.42,0.10,257.80,2
48.86,430.48,5.00,93.46,9.79,81.34,1.36,209.40,2
50.78,269.49,5.00,83.24,5.43,84.80,4.22,294.65,2
45.17,382.17,5.00,65.23,7.87,85.80,3.71,232.56,2
44.44,427.40,5.00,86.62,11.58,83.06,3.53,244.95,2
47.71,320.52,5.00,44.24,9.33,79.31,2.39,601.50,2
50.17,666.90,5.00,76.42,7.32,80.90,0.24,506.23,2
45.80,492.30,5.00,58.17,7.97,88.97,3.30,184.75,2
49.13,389.72,5.00,68.60,4.81,87.30,3.48,288.32,2
44.59,419.35,5.00,101.86,11.02,89.86,15.02,214.78,3
48.40,247.41,5.00,98.88,7.50,93.24,7.20,462.01,3
50.68,396.98,5.00,45.42,9.85,87.90,1.71,398.45,2
46.83,371.56,5.00,52.02,10.77,94.38,0.39,139.87,2
48.67,448.95,5.00,88.93,9.52,83.59,4.96,293.25,2
44.28,471.40,5.00,71.22,12.46,89.12,5.72,688.43,2
45.18,491.57,5.00,82.67,10.41,92.85,1.70,352.62,2
52.61,405.83,5.00,22.85,7.68,89.78,1.84,296.57,2
49.91,319.21,5.00,61.77,8.27,78.02,6.22,50.00,2
52.26,602.56,5.00,100.86,8.21,84.42,4.52,296.37,3
49.30,325.19,5.00,105.77,6.14,79.59,8.16,378.64,3
51.05,258.48,5.00,79.06,15.32,76.00,0.15,198.34,2
51.60,261.99,5.00,93.99,11.50,74.73,10.70,425.13,3
50.35,647.99,5.00,72.58,6.58,88.64,3.56,281.94,2
48.89,412.39,5.00,71.21,6.67,80.67,8.79,363.25,3
49.80,388.85,5.00,94.37,11.35,76.39,7.96,462.90,3
50.31,373.62,5.00,84.39,7.56,76.54,1.25,313.78,2
47.93,383.62,5.00,95.90,4.65,75.68,6.12,139.83,2
49.50,527.90,5.00,98.46,10.14,86.41,0.16,202.60,2
48.25,559.43,5.00,52.72,10.22,87.85,9.50,375.16,3
50.29,742.50,5.00,30.65,7.44,90.84,4.14,247.20,2
47.52,534.34,5.00,116.21,13.44,91.84,1.22,411.32,2
44.62,423.62,5.00,69.49,2.29,84.55,4.13,321.50,2
48.15,623.41,5.00,60.33,10.08,77.55,2.88,102.00,2
47.23,171.86,5.00,87.20,5.78,76.63,3.27,199.59,2
46.92,329.74,5.00,83.88,13.52,70.75,12.08,317.25,3
45.27,396.68,5.00,53.74,10.31,82.62,9.33,50.00,3
54.65,412.72,5.00,58.19,4.96,71.18,10.72,62.38,3
50.70,603.76,5.00,98.93,7.87,82.87,5.22,207.78,3
47.06,313.06,5.00,22.10,7.34,80.73,6.26,151.92,2
49.79,399.80,5.00,106.56,12.97,89.06,0.05,50.00,2
50.48,447.99,5.00,99.73,10.36,78.33,10.47,354.23,3
48.20,330.63,5.00,33.47,7.56,98.07,0.20,227.15,2
48.56,296.68,5.00,107.54,6.90,87.82,5.31,364.08,3
54.44,330.54,5.00,52.30,6.22,80.41,7.21,515.01,2
49.01,451.24,5.00,72.54,11.93,86.76,2.09,50.00,2
53.55,513.55,5.00,51.23,13.95,80.48,0.69,117.83,2
46.92,513.56,5.00,108.66,13.69,78.63,2.37,268.62,2
51.89,277.99,5.00,35.18,13.32,93.35,0.68,230.69,2
46.34,418.27,5.00,89.56,9.52,79.38,0.14,283.56,2
44.16,376.58,5.00,30.81,8.44,81.44,9.87,334.35,2
52.11,464.36,5.00,73.22,10.84,72.57,3.51,130.98,2
48.64,278.36,5.00,115.22,10.25,80.69,1.62,484.16,2
45.24,345.50,5.00,71.70,8.08,70.12,3.91,412.19,2
47.40,287.02,5.00,70.77,16.50,83.75,3.79,434.92,2
43.70,479.60,5.00,64.27,9.18,97.87,1.16,74.55,2
48.93,632.29,5.00,66.86,10.34,78.01,9.43,430.98,3
49.32,416.49,5.00,104.05,9.35,71.36,1.51,489.29,2
50.24,332.97,5.00,81.91,2.24,98.30,9.03,259.54,3
47.81,454.27,5.00,88.93,11.44,85.33,1.01,313.44,2
52.08,395.47,5.00,72.52,12.51,96.00,11.74,328.84,3
47.93,373.38,5.00,104.00,12.34,77.36,1.60,361.06,2
52.01,356.21,5.00,53.54,7.45,78.79,0.06,428.49,2
50.54,481.94,5.00,59.86,10.80,86.80,4.84,413.14,2
50.05,473.96,5.00,56.72,10.14,77.08,2.36,296.40,2
45.64,402.66,5.00,56.09,8.58,70.64,0.36,331.99,2
53.09,420.37,5.00,71.42,9.75,81.03,1.57,193.56,2
45.31,307.21,5.00,96.64,8.92,80.41,1.15,50.00,2
48.28,422.78,5.00,34.58,13.11,76.87,9.88,350.26,3
37.43,442.06,5.00,120.91,13.22,83.26,1.25,226.25,2
50.95,487.13,5.00,81.81,13.61,75.07,6.72,309.79,3
47.91,207.71,5.00,58.53,8.27,78.86,6.21,322.85,2
45.81,421.85,5.00,99.78,6.40,76.85,0.48,468.84,2
43.29,321.69,5.00,63.99,12.12,83.58,2.56,329.04,2
47.21,510.73,5.00,74.26,15.45,91.41,5.48,100.79,3
44.38,1298.34,5.00,57.82,7.09,82.99,3.04,552.59,2
39.47,1166.77,5.00,65.80,6.13,69.70,1.22,602.53,2
39.07,1003.51,5.00,42.90,6.06,83.98,3.45,817.87,2
39.61,1207.90,5.00,46.34,12.81,85.06,2.27,654.77,2
35.56,1248.15,5.00,65.01,3.79,81.48,2.07,768.82,2
46.42,1058.63,5.00,60.41,6.06,81.43,0.12,388.12,2
41.14,1029.74,5.00,74.12,4.96,85.33,1.36,450.85,2
43.73,860.81,5.00,53.67,6.55,89.93,1.46,593.75,2
36.87,1283.72,5.00,73.48,8.65,89.33,0.27,602.94,2
40.17,1173.07,5.00,80.12,4.27,73.73,0.93,638.34,2
41.58,1156.11,5.00,59.93,7.23,85.36,1.02,823.48,2
39.61,1128.45,5.00,37.02,4.11,96.73,1.28,583.87,2
41.07,1177.68,5.00,24.10,4.65,84.45,1.95,552.34,2
42.38,1319.56,5.00,63.74,5.39,78.91,2.24,836.72,2
38.16,999.09,5.00,49.75,7.90,92.62,2.46,588.61,2
37.19,1131.30,5.00,56.55,8.25,86.72,2.28,356.05,2
40.33,1107.11,5.00,51.09,10.62,73.43,0.09,830.02,2
40.30,1002.14,5.00,66.80,7.61,86.99,0.60,649.78,2
48.09,986.42,5.00,60.34,4.51,89.26,2.83,602.87,2
40.70,1000.80,5.00,31.56,8.99,95.05,0.36,776.29,2
46.19,1192.67,5.00,47.77,6.50,79.20,0.78,690.68,2
42.64,1235.69,5.00,51.75,3.88,86.58,2.17,527.01,2
39.75,1072.29,5.00,74.20,5.96,82.80,1.00,798.20,2
41.87,1168.05,5.00,58.11,8.26,93.85,0.58,511.16,2
34.10,1257.11,5.00,25.32,8.69,86.79,0.50,456.91,1
41.75,1127.27,5.00,17.09,12.45,90.00,2.84,995.13,2
37.85,990.36,5.00,50.87,9.26,85.93,1.38,826.67,2
42.43,990.94,5.00,41.83,3.42,84.50,0.15,666.58,1
31.89,1173.87,5.00,66.52,7.71,94.11,2.95,439.34,2
37.67,1200.72,5.00,58.34,9.66,83.26,0.08,350.01,2
42.22,1091.53,5.00,38.71,6.60,80.18,0.52,437.13,2
45.26,1248.47,5.00,49.31,9.90,80.33,2.49,420.26,2
39.37,1205.45,5.00,75.18,5.75,83.11,1.79,813.36,2
38.91,1177.43,5.00,100.65,7.65,89.58,1.75,514.59,2
43.28,969.63,5.00,81.90,3.51,84.40,1.44,637.53,2
32.92,1168.85,5.00,82.65,9.49,91.60,2.37,588.87,2
43.33,1200.59,5.00,76.57,4.65,83.35,0.82,434.98,2
44.70,1262.51,5.00,71.44,6.76,72.35,0.36,588.77,2
43.43,1251.89,5.00,48.25,6.29,77.59,2.44,546.45,2
41.68,1308.36,5.00,101.08,6.62,85.27,3.22,640.35,2
33.46,1281.66,5.00,43.63,3.91,90.86,2.23,541.20,1
38.73,1242.65,5.00,83.39,12.30,87.12,0.68,504.04,2
37.40,987.68,5.00,17.54,9.84,82.92,0.14,830.06,1
38.54,1261.84,5.00,100.93,4.53,84.11,0.94,575.50,2
41.56,1210.21,5.00,83.53,10.85,84.54,2.78,401.09,2
39.97,1086.64,5.00,42.92,1.49,78.73,7.06,611.62,2
40.19,1039.09,5.00,77.85,9.61,75.62,1.01,460.57,2
38.10,1070.47,5.00,11.91,6.12,92.39,6.92,407.11,2
38.47,1171.22,5.00,41.93,5.69,96.74,2.09,801.07,2
45.16,1271.64,5.00,16.23,9.28,90.63,4.02,369.52,2
42.93,1190.87,5.00,65.37,2.52,92.98,1.05,775.44,2
41.15,1119.30,5.00,47.42,1.63,86.04,3.66,674.62,2
42.98,1027.64,5.00,55.01,5.98,88.05,4.92,544.57,2
35.38,1097.32,5.00,97.54,5.02,86.79,1.90,586.99,2
36.48,1232.76,5.00,43.03,7.29,88.47,2.68,564.84,2
38.55,1045.54,5.00,98.23,5.60,96.39,0.17,749.56,2
42.75,1206.64,5.00,57.50,8.73,89.59,2.72,414.35,2
41.54,1355.43,5.00,50.97,4.64,87.62,1.55,714.97,2
38.25,984.27,5.00,63.20,8.66,85.31,1.99,817.99,2
43.91,1027.92,5.00,15.22,0.50,89.93,0.13,627.64,1
39.08,1253.15,5.00,45.92,6.36,86.85,0.12,312.05,2
43.78,1148.02,5.00,61.90,5.37,97.20,0.60,447.26,2
40.02,1116.43,5.00,75.36,7.52,90.12,0.23,745.23,2
37.47,1015.95,5.00,58.09,1.52,73.83,0.87,679.92,1
42.69,1215.67,5.00,69.32,5.74,85.95,0.88,649.18,2
43.48,1151.08,5.00,82.22,0.50,78.30,3.92,602.15,2
44.23,1207.92,5.00,66.10,8.32,99.04,0.35,430.37,2
37.54,1214.17,5.00,29.67,8.73,87.37,0.35,861.70,1
38.52,998.98,5.00,50.17,5.57,100.00,0.56,664.94,2
40.49,1078.85,5.00,37.18,4.40,87.38,1.63,666.76,2
35.45,924.41,5.00,102.37,7.67,81.49,1.39,680.19,2
44.55,1121.05,5.00,69.32,13.16,88.21,0.25,462.47,2
37.87,1101.03,5.00,30.70,8.45,91.85,0.46,564.81,1
31.60,1181.15,5.00,54.46,4.21,98.87,2.33,743.77,1
41.98,1361.03,5.00,64.90,7.67,86.38,0.81,783.54,2
51.16,1951.62,5.00,116.44,10.41,87.66,0.35,403.51,2
56.33,1725.12,5.00,107.03,11.47,93.29,15.50,50.00,3
52.67,1712.83,5.00,103.25,9.31,86.43,26.42,451.93,3
45.43,1854.37,5.00,92.22,7.73,84.45,2.08,222.32,2
58.17,1746.06,5.00,140.33,14.20,86.95,0.02,566.52,3
54.10,1860.20,5.00,89.75,11.55,90.94,6.85,468.37,3
54.63,1854.89,5.00,79.49,11.47,94.65,6.10,478.93,3
50.45,1722.46,5.00,115.51,12.69,89.38,4.09,296.70,3
54.74,1817.27,5.00,154.72,14.63,87.65,5.67,67.43,3
49.03,1701.75,5.00,80.86,8.95,85.98,10.73,50.00,3
47.20,1783.73,5.00,113.66,9.86,95.14,4.85,186.86,3
49.70,1882.54,5.00,80.80,13.97,89.23,1.77,332.99,2
49.14,1706.85,5.00,82.77,13.40,79.04,4.88,342.68,3
53.93,1855.08,5.00,90.68,13.05,89.76,2.07,169.17,3
50.39,1772.03,5.00,99.78,12.77,84.97,4.95,260.04,3
54.38,1743.75,5.00,99.86,13.50,90.21,1.29,297.42,3
49.52,1795.04,5.00,137.13,8.87,90.41,27.20,297.36,3
48.44,1750.71,5.00,107.12,10.90,90.20,1.69,464.71,2
47.80,1863.03,5.00,141.47,13.19,94.63,4.41,553.01,3
52.87,1905.41,5.00,111.72,11.37,86.09,5.53,484.51,3
47.26,1713.62,5.00,125.69,11.78,86.96,3.38,334.07,3
